japanese,pronounce,english
最中,さいちゅう,"in the middle of, height of, in course of, midst"
鈍い,にぶい,"dull (e.g. a knife), thickheaded, obtuse, slow, stupid"
燃やす,もやす,to burn
夫婦,ふうふ,"married couple, spouses, husband and wife, couple, pair"
平均,へいきん,"① average, mean ② balance, equilibrium"
抱く,いだく,"① to embrace, to hold in the arms (e.g. a baby), to hug ② to harbour (e.g. grudge) (harbor), to bear (e.g. a grudge), to entertain (e.g. suspicion) ③ to sleep with ④ to sit on eggs"
痛み,いたみ,"pain, ache, sore, grief, distress"
位置,いち,"place, situation, position, location"
得る,える,"① to get, to acquire, to obtain, to procure, to earn, to win, to gain, to secure, to attain ② (after the -masu stem of a verb) to be able to ..., can ..."
収める,おさめる,"① to dedicate, to make an offering, to pay (fees) ② to supply ③ to store ④ to finish, to bring to a close ⑤ to restore (something to its place) ⑥ to achieve (e.g. a result)"
恐れる,おそれる,"to fear, to be afraid of"
降ろす,おろす,"① to take down (e.g. flag), to launch (e.g. boat), to drop, to lower (e.g. ladder), to let (a person) off, to unload, to discharge ② to drop off (a passenger from a vehicle), to let (a person) off ③ to withdraw money from an account ④ to wear (clothing) for the first time ⑤ to fillet (e.g. a fish)"
替える,かえる,"① to replace ② to exchange, to interchange ③ to substitute"
香り,かおり,"aroma, fragrance, scent, smell"
乾杯,かんぱい,"① toast, drink (in celebration or in honor of something) ② drinking one's glass dry ③ cheers"
効く,きく,"① to be effective, to show effect ② to do its work, to carry out its function well ③ to be possible to use"
気付く,きづく,"to notice, to recognize, to recognise, to become aware of, to perceive, to realize, to realise"
寄付,きふ,"contribution, donation"
越える,こえる,"① to cross over, to cross, to pass through, to pass over (out of) ② to exceed"
凍る,こおる,"to freeze, to be frozen over, to congeal"
捜す,さがす,"to search (for something lost), to seek (a suspect in a crime)"
戦い,たたかい,"battle, fight, struggle, conflict"
戦う,たたかう,"to fight, to battle, to combat, to struggle against, to wage war, to engage in contest"
頼る,たよる,"to rely on, to have recourse to, to depend on"
手続き,てつづき,"procedure, (legal) process, formalities"
飛び込む,とびこむ,"to jump in, to leap in, to plunge into, to dive"
年齢,ねんれい,"age, years"
伸ばす,のばす,"① to grow long (beard, hair, etc.) ② to lengthen, to extend, to stretch ③ to reach out, to hold out ④ to straighten, to smooth out ⑤ to spread evenly (dough, cream, etc.) ⑥ to dilute, to thin out ⑦ to postpone ⑧ to prolong ⑨ to strengthen, to develop, to expand"
必死,ひっし,"① frantic, desperate ② inevitable death ③ brinkmate (inevitable checkmate) (shogi)"
雇う,やとう,"① to employ ② to hire, to charter"
郵便,ゆうびん,"mail, postal service"
有利,ゆうり,"advantageous, better, profitable, lucrative"
喜び,よろこび,"joy, delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations"
労働,ろうどう,"① manual labor, manual labour, toil, work ② Labour Party"
泊,はく,counter for nights of a stay
最,さい,"① the most, the extreme ② prime, conspicuous"
論,ろん,"① argument, discussion, dispute, controversy, discourse, debate ② theory, doctrine ③ essay, treatise, comment"
お互い,おたがい,"mutual, reciprocal, each other"
税,ぜい,tax
悪魔,あくま,"devil, demon, fiend, Satan, evil spirit"
握る,にぎる,"to grasp, to seize, to mould sushi, to mold sushi"
握手,あくしゅ,handshake
扱う,あつかう,"to handle, to deal with, to treat"
案,あん,"① idea, plan, thought ② draft plan, motion, rough copy ③ expectation"
意志,いし,"will, volition, intention, intent, determination"
慰める,なぐさめる,"to comfort, to console, to amuse"
異なる,ことなる,"to differ, to vary, to disagree"
異常,いじょう,"strangeness, abnormality, disorder"
維持,いじ,"maintenance, preservation, improvement"
井戸,いど,water well
一瞬,いっしゅん,"moment, instant"
一斉,いっせい,"simultaneous, all at once"
一致,いっち,"① coincidence, agreement, union, match ② conformity, consistency ③ cooperation"
稲,いね,rice-plant
隠す,かくす,"to hide, to conceal"
隠れる,かくれる,"to hide, to be hidden, to conceal oneself, to disappear"
宇宙,うちゅう,"universe, cosmos, space"
運命,うんめい,fate
影響,えいきょう,"influence, effect"
栄養,えいよう,"nutrition, nourishment"
援助,えんじょ,"assistance, aid, support"
猿,さる,"① monkey (esp. the Japanese macaque, Macaca fuscata) ② sly person ③ sliding wooden bolt (for holding a door or window shut) ④ clasp used to control the height of a pot-hook"
遠慮,えんりょ,"diffidence, restraint, reserve, discretion, tact, thoughtfulness"
汚染,おせん,"pollution, contamination"
応じる,おうじる,"to respond, to satisfy, to accept, to comply with, to apply for"
応募,おうぼ,"subscription, application"
殴る,なぐる,"to strike, to hit"
沖,おき,open sea
温暖,おんだん,warmth
穏やか,おだやか,"calm, gentle, quiet"
価格,かかく,"price, value, cost"
価値,かち,"value, worth, merit"
家賃,やちん,rent
火災,かさい,"conflagration, fire"
稼ぐ,かせぐ,"to earn income, to labor, to labour"
蚊,か,mosquito
我慢,がまん,"patience, endurance, perseverance, tolerance, self-control, self-denial"
芽,め,sprout
解釈,かいしゃく,"explanation, interpretation"
怪我,けが,"injury (to animate object), hurt"
悔やむ,くやむ,"① to mourn, to lament ② to be sorry, to regret, to repent"
懐かしい,なつかしい,"dear, desired, missed"
改善,かいぜん,"① betterment, improvement ② kaizen (Japanese business philosophy of continuous improvement)"
街,がい,".. street, .. quarter, .. district"
拡大,かくだい,"magnification, enlargement, expansion"
覚悟,かくご,"resolution, resignation, readiness, preparedness"
株,かぶ,"share, stock, stump (of tree)"
勘定,かんじょう,"calculation, counting, consideration, reckoning, settlement of an account, allowance"
感謝,かんしゃ,"thanks, gratitude"
歓迎,かんげい,"welcome, reception"
環境,かんきょう,"environment, circumstance"
監督,かんとく,"① supervision, control, superintendence, direction ② director, superintendent, supervisor, coach, foreman, manager, overseer, controller, boss"
企業,きぎょう,"enterprise, undertaking, corporation, business"
器用,きよう,"skillful, handy"
基礎,きそ,"foundation, basis"
基本,きほん,"foundation, basis, standard"
奇妙,きみょう,"strange, queer, curious"
既に,すでに,"already, too late"
機嫌,きげん,"humour, humor, temper, mood"
記憶,きおく,"① memory, recollection, remembrance ② storage"
貴重,きちょう,"precious, valuable"
輝く,かがやく,"to shine, to glitter, to sparkle"
鬼,おに,"① ogre, demon ② spirit of a deceased person ③ ogre-like person (i.e. fierce, relentless, merciless, etc.) ④ it (i.e. in a game of tag) ⑤ Chinese ""ghost"" constellation (one of the 28 mansions)"
儀式,ぎしき,"ceremony, rite, ritual, service"
義務,ぎむ,"duty, obligation, responsibility"
休暇,きゅうか,"holiday, day off, furlough, absence (from work)"
休憩,きゅうけい,"rest, break, recess, intermission"
急激,きゅうげき,"sudden, precipitous, radical"
救う,すくう,"to rescue from, to help out of, to save"
救助,きゅうじょ,"relief, aid, rescue"
教授,きょうじゅ,"① professor ② teaching, instruction"
狂う,くるう,"① to go mad ② to get out of order, to go amiss"
響く,ひびく,"① to resound, to be heard far away ② to reverberate, to shake, to vibrate ③ to come (home), to remain (with someone) ④ to have an affect, to make an impression"
筋,すじ,"① muscle ② string, sinew, line, stripe ③ plot, plan ④ source (of business information) ⑤ reason, logic"
筋肉,きんにく,"muscle, sinew"
緊張,きんちょう,"tension, mental strain, nervousness"
金銭,きんせん,"money, cash"
金属,きんぞく,metal
金融,きんゆう,"financing, credit transacting, loaning of money, circulation of money"
繰り返す,くりかえす,"to repeat, to do something over again"
軍隊,ぐんたい,"army, troops"
刑事,けいじ,① (police) detective ② criminal matter
契約,けいやく,"contract, compact, agreement"
掲示,けいじ,"notice, bulletin, post, posting, placard"
撃つ,うつ,"① to shoot (at) ② to attack, to defeat, to destroy, to avenge"
傑作,けっさく,"① masterpiece, best work ② blunder, boner"
欠陥,けっかん,"① defect, fault, deficiency, deformity ② shortage, gap"
穴,あな,"① hole ② deficit, shortage, missing person (in a team, meeting, etc.) ③ vacancy, opening ④ flaw ⑤ profitable place (or item, etc.) not well known by others ⑥ upset victory (with a large payoff)"
結ぶ,むすぶ,"① to tie, to bind, to link ② to bear (fruit)"
結果,けっか,"① result, consequence, outcome, effect ② coming to fruition, bearing fruit"
結局,けっきょく,"after all, eventually, in the end"
結論,けつろん,conclusion
件,けん,"matter, case, item"
健康,けんこう,"health, sound, wholesome"
兼ねる,かねる,"① to be unable to (usu. kana), to find difficult (unpleasant, awkward, painful) to do (usu. kana) ② to simultaneously serve two or more functions or roles, to contain (or combine) two or more features ③ to simultaneously work in two or more jobs (positions, etc.), to do alongside ④ to hesitate to do something (out of consideration for others) ⑤ to think of the future (as well as the present)"
嫌う,きらう,"to hate, to dislike, to loathe"
憲法,けんぽう,constitution
懸命,けんめい,"eagerness, earnestness, risking one's life"
検査,けんさ,"inspection (e.g. customs, factory), examination, scan (e.g. MRI, PET, etc.)"
検討,けんとう,"consideration, examination, investigation, study, scrutiny, discussion"
原稿,げんこう,"manuscript, copy"
虎,とら,"① tiger (feline, Panthera tigris) ② trouble"
誇り,ほこり,"pride, boast"
慌てる,あわてる,"① to become confused (disconcerted, disorganized, disorganised), to be flustered, to panic ② to be in a hurry, to rush"
攻撃,こうげき,"attack, strike, offensive, criticism, censure"
考慮,こうりょ,"consideration, taking into account"
行儀,ぎょうぎ,"manners, behavior, behaviour"
貢献,こうけん,"contribution, services"
高価,こうか,high price
豪華,ごうか,"wonderful, gorgeous, splendor, splendour, pomp, extravagance"
克服,こくふく,"subjugation, conquest, victory"
穀物,こくもつ,"grain, cereal, corn"
裁判,さいばん,"trial, judgement, judgment"
酸素,さんそ,oxygen
姿,すがた,"figure, shape, appearance"
死,し,"death, decease"
至る,いたる,"① to arrive at (e.g. a decision), to reach (a stage), to attain ② to lead to (a place), to get to"
詩人,しじん,poet
資源,しげん,resources
飼う,かう,"to keep, to raise, to feed"
事業,じぎょう,"project, enterprise, business, industry, operations"
次第,しだい,"① dependent upon ② as soon as, immediately (upon) ③ circumstances ④ order, precedence, program, programme, agenda"
自慢,じまん,"pride, boast"
実施,じっし,"enforcement, implementation, putting into practice (practise), carrying out, operation, working (e.g. working parameters), enactment"
芝居,しばい,"play, drama"
芝生,しばふ,lawn
主義,しゅぎ,"doctrine, rule, principle"
主張,しゅちょう,"claim, request, insistence, assertion, advocacy, emphasis, contention, opinion, tenet"
種,しゅ,"① kind, variety ② (biological) species ③ (logical) species"
需要,じゅよう,"demand, request"
収穫,しゅうかく,"harvest, crop, ingathering"
宗教,しゅうきょう,religion
就く,つく,"① to ascend (the throne), to accede ② to take (seat, position, course, etc.), to assume ③ to start (on a journey), to commence, to depart ④ to study (under teacher), to be an apprentice"
就職,しゅうしょく,"finding employment, inauguration"
修正,しゅうせい,"amendment, correction, revision, modification, alteration, retouching, update, fix"
修理,しゅうり,"repairing, mending, servicing"
臭い,くさい,"① stinking, smelly ② suspicious, fishy ③ clumsy"
従う,したがう,"to abide (by the rules), to obey, to follow, to accompany"
従って,したがって,"therefore, consequently, in accordance with"
渋滞,じゅうたい,"congestion (e.g. traffic), delay, stagnation"
重視,じゅうし,"importance, stress, serious consideration"
銃,じゅう,"gun, rifle, small arms"
出張,しゅっちょう,"official tour, business trip"
瞬間,しゅんかん,"moment, second, instant"
書斎,しょさい,"a study, library"
助け,たすけ,assistance
女房,にょうぼう,"① wife ② court lady, female court attache, woman who served at the imperial palace"
症状,しょうじょう,"symptoms, condition"
衝突,しょうとつ,"collision, conflict"
証明,しょうめい,"proof, verification"
詳しい,くわしい,"knowing very well, detailed, full, accurate"
障害,しょうがい,"① obstacle, impediment, hindrance, difficulty, barrier ② handicap, impairment, disability, disorder, malfunction"
挙げる,あげる,"① to raise, to elevate ② to show someone (into a room) ③ to send someone (away) ④ to increase (price, quality, status, etc.) ⑤ to praise ⑥ to give (an example, etc.), to cite ⑦ to summon up (all of one's energy, etc.) ⑧ to arrest ⑨ to nominate ⑩ to conduct (a ceremony, esp. a wedding)"
揚げる,あげる,"① to deep-fry ② to raise, to elevate ③ to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.) ④ to land (a boat) ⑤ to increase (price, quality, status, etc.) ⑥ to earn (something desirable) ⑦ (of the tide) to come in"
上司,じょうし,"superior authorities, boss"
冗談,じょうだん,"jest, joke"
条件,じょうけん,"condition, conditions, term, terms, requirement, requirements"
状態,じょうたい,"current status, condition, situation, circumstances, state"
譲る,ゆずる,"to turn over, to assign, to hand over, to transmit, to convey, to sell, to dispose of, to yield, to surrender"
食器,しょっき,tableware
食卓,しょくたく,dining table
食糧,しょくりょう,"provisions, rations, food supply"
信仰,しんこう,"(religious) faith, belief, creed"
侵入,しんにゅう,"penetration, invasion, raid, aggression, trespass"
唇,くちびる,lips
審判,しんぱん,"refereeing, trial, judgement, judgment, umpire, referee"
慎重,しんちょう,"discretion, prudence, caution, care"
振り向く,ふりむく,"to turn one's face, to turn around, to look over one's shoulder"
振る,ふる,"① to wave, to shake, to swing ② to sprinkle, to throw (dice) ③ to cast (actor), to allocate (work) ④ to turn down (somebody), to reject, to jilt, to dump ⑤ to abandon, to give up, to ruin ⑥ to add kana indicating a reading of a word ⑦ to slightly change headings, to change directions ⑧ to extract by broiling, to prepare an infusion of, to decoct ⑨ to carry with great vigor (e.g. a portable shrine) ⑩ to bring up the main topic ⑪ to replace, to substitute ⑫ to set up a joke for somebody else"
新鮮,しんせん,fresh
申し訳,もうしわけ,"apology, excuse"
真剣,しんけん,"① seriousness, earnestness ② real sword (as opposed to unsharpened or wooden practice weapon) (practise)"
真実,しんじつ,"truth, reality"
診る,みる,to examine (medically)
診察,しんさつ,medical examination
推薦,すいせん,recommendation
睡眠,すいみん,sleep
酔う,よう,"to get drunk, to become intoxicated"
世紀,せいき,"century, era"
成功,せいこう,"success, hit"
整理,せいり,"sorting, arrangement, organization, putting in order, adjustment, regulation, liquidation"
清潔,せいけつ,"① clean, hygenic, sanitary ② pure, virtuous, immaculate"
製造,せいぞう,"manufacture, production"
製品,せいひん,"manufactured goods, finished goods, product"
誓う,ちかう,"to swear, to vow, to take an oath, to pledge"
請求,せいきゅう,"claim, demand, charge, application, request, billing (for a service)"
節約,せつやく,"economising, saving"
説得,せっとく,persuasion
絶滅,ぜつめつ,"destruction, extinction"
舌,した,"① tongue ② tongue-like object, clapper (of a bell), talon (of a lock)"
専攻,せんこう,"major subject, special study"
選択,せんたく,"selection, choice, option"
善,ぜん,"good, goodness, right, virtue"
素敵,すてき,"lovely, dreamy, beautiful, great, fantastic, superb, cool, capital"
組織,そしき,"① organization, organisation ② structure, construction ③ tissue ④ system"
訴える,うったえる,"① to sue (a person), to take someone to court ② to resort to (e.g. arms, violence) ③ to appeal to, to call for ④ to raise, to bring to (someone's attention) ⑤ to complain"
喪失,そうしつ,"loss, forfeit"
操作,そうさ,"① operation, management, processing ② manipulating to one's benefit ③ to operate ④ to manipulate, to fiddle (e.g. the books)"
巣,す,"① nest, rookery, breeding place, hive ② den ③ haunt ④ (spider's) web"
相撲,すもう,"① sumo wrestling ② sumo wrestler, rikishi"
騒ぎ,さわぎ,"uproar, disturbance"
騒音,そうおん,noise
属する,ぞくする,"① to entrust ② to send (a message, etc.)"
怠る,おこたる,"to be negligent in doing something, to shirk, to be off one's guard"
態度,たいど,"attitude, manner, behaviour"
滞在,たいざい,"stay, sojourn"
逮捕,たいほ,"arrest, apprehension, capture"
大抵,たいてい,"① mostly, ordinarily, usually, generally ② probably ③ most, almost all ④ (before a neg. form) ordinary ⑤ proper, appropriate, moderate"
大統領,だいとうりょう,"president, chief executive"
第,だい,ordinal
奪う,うばう,"to snatch away, to dispossess, to steal"
誕生,たんじょう,"birth, creation, formation"
知恵,ちえ,"① wisdom, wit, sagacity, sense, intelligence ② prajna (insight leading to enlightenment)"
張る,はる,"① to stick, to paste, to affix ② to stretch, to spread, to strain, to tighten ③ to form (e.g. ice on a pond) ④ to fill, to swell ⑤ to stick out, to put, to slap ⑥ to be expensive"
眺める,ながめる,"to view, to gaze at"
通訳,つうやく,interpretation (i.e. oral translation)
釣り,つり,"① fishing, angling ② change (e.g. for a purchase)"
抵抗,ていこう,"electrical resistance, resistance, opposition"
提案,ていあん,"proposal, proposition, suggestion"
提出,ていしゅつ,"① to present, to submit (e.g. a report or a thesis), to hand in, to file, to turn in ② presentation, submission, filing"
笛,ふえ,"flute, pipe, whistle"
哲学,てつがく,philosophy
徹底,てってい,"thoroughness, completeness, consistency"
徹夜,てつや,"all night, all-night vigil, sleepless night"
伝統,でんとう,"tradition, convention"
投票,とうひょう,"voting, poll"
当然,とうぜん,"natural, as a matter of course"
答案,とうあん,"examination paper, examination script"
統計,とうけい,statistics
豆,まめ,"① legume (esp. edible legumes or their seeds, such as beans, peas, pulses, etc.), beans, peas ② soya bean (soybean), soy (Glycine max) ③ miniature, tiny ④ child"
同意,どうい,"① agreement, consent, same opinion, approval ② same meaning"
同僚,どうりょう,"coworker, colleague, associate"
憧れる,あこがれる,"to long for, to yearn after, to admire, to be attracted by"
道徳,どうとく,morals
特徴,とくちょう,"feature, trait, characteristic, pecularity"
独身,どくしん,"bachelorhood, single, unmarried, celibate"
独特,どくとく,"peculiarity, uniqueness, characteristic"
独立,どくりつ,"independence (e.g. Independence Day), self-support"
虹,にじ,rainbow
納得,なっとく,"consent, assent, understanding, agreement, comprehension, grasp"
俳優,はいゆう,"actor, actress, player, performer"
梅,うめ,"① plum, Japanese apricot, prunus mume ② lowest (of a three-tier ranking system)"
博士,はかせ,"① doctorate, PhD, Dr (as a title) ② expert, learned person"
博物館,はくぶつかん,museum
拍手,はくしゅ,"clapping hands, applause"
迫る,せまる,"to draw near, to press (someone for something)"
縛る,しばる,"to tie, to bind"
発揮,はっき,"exhibition, demonstration, show, display, manifestation"
発展,はってん,"① development, growth, advancement, unfurling ② expansion, extension, enlargement ③ playing around, having an active sex life"
反抗,はんこう,"opposition, resistance, insubordination, defiance, hostility, rebellion"
範囲,はんい,"extent, scope, sphere, range, span"
批判,ひはん,"criticism, judgement, judgment, comment"
批評,ひひょう,"criticism, review, commentary"
比較,ひかく,comparison
比較的,ひかくてき,"comparative, relative"
秘密,ひみつ,"secret, secrecy"
微笑む,ほほえむ,to smile
微妙,びみょう,"① delicate, subtle, sensitive ② difficult, delicate (situation), complicated ③ doubtful, questionable, dicey"
評価,ひょうか,"① valuation, estimation, assessment, evaluation ② to value, to assess, to estimate value ③ to appreciate, to value highly, to acknowledge the value (of something)"
評判,ひょうばん,"① fame, reputation, popularity ② rumour (rumor), talk"
敷く,しく,"① to spread out, to lay out ② to take a position ③ to impose widely (e.g. over a city)"
腐る,くさる,"to rot, to go bad, to corrode"
武器,ぶき,"weapon, arms, ordnance"
物価,ぶっか,"prices of commodities, prices (in general), cost-of-living"
分析,ぶんせき,analysis
雰囲気,ふんいき,"atmosphere (e.g. musical), mood, ambience, ambiance"
文句,もんく,① phrase ② complaint
塀,へい,"wall, fence"
保存,ほぞん,"preservation, conservation, storage, saving (e.g., to disk), maintenance"
崩す,くずす,"to destroy, to pull down, to make change (money)"
妨げる,さまたげる,"to disturb, to prevent, to obstruct, to hinder"
冒険,ぼうけん,"risk, venture, adventure"
幕,まく,"① curtain, bunting ② act (in play)"
魅力,みりょく,"charm, fascination, glamour, glamor, attraction, appeal"
無視,むし,"disregard, ignore"
無駄,むだ,"futility, uselessness, pointlessness"
矛盾,むじゅん,"contradiction, inconsistency"
霧,きり,"fog, mist"
迷惑,めいわく,"trouble, bother, annoyance"
免許,めんきょ,"license, permit, licence, certificate"
模様,もよう,"pattern, figure, design"
黙る,だまる,to be silent
目標,もくひょう,"mark, objective, target"
厄介,やっかい,"trouble, burden, care, bother, worry, dependence, support, kindness, obligation"
訳す,やくす,"to translate, to interpret"
唯一,ゆいいつ,"only, sole, unique"
優秀,ゆうしゅう,"superiority, excellence"
誘う,さそう,"① to invite, to ask, to call (for) ② to tempt, to lure, to induce"
余裕,よゆう,"surplus, composure, margin, room, time, allowance, flexibility, scope, rope"
要素,ようそ,"① component, factor, item (e.g. in list) ② element (e.g. in array), member (e.g. data structure)"
翼,つばさ,"① wing ② Chinese ""Wings"" constellation (one of the 28 mansions)"
裸,はだか,"naked, nude, bare"
嵐,あらし,"storm, tempest"
利益,りえき,"① profit, gains ② benefit, advantage, interest (of the public, etc.) ③ grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.), blessing, miracle"
理論,りろん,theory
離す,はなす,"to part, to divide, to separate, to release"
離れる,はなれる,"to be separated from, to leave, to go away, to be a long way off"
離婚,りこん,divorce
率,りつ,"rate, ratio, proportion, percentage"
礼儀,れいぎ,"manners, courtesy, etiquette"
劣る,おとる,"to fall behind, to be inferior to"
化粧,けしょう,"make-up, cosmetics"
助言,じょげん,"advice, suggestion"
傷,きず,"① wound, injury, cut, gash, bruise, scratch, scrape, scar ② chip, crack, scratch, nick ③ flaw, defect, weakness, weak point ④ stain (on one's reputation), disgrace, dishonor, dishonour ⑤ (emotional) hurt, hurt feelings"
敵,てき,"① opponent, rival, adversary ② menace, danger, threat, enemy"
梅雨,つゆ,① rainy season ② rain during the rainy season
避ける,さける,"① to avoid (physical contact with) ② to avoid (situation) ③ to ward off, to avert"
描く,えがく,"to draw, to paint, to sketch, to depict, to describe"
雷,かみなり,thunder
飽きる,あきる,"to get tired of, to lose interest in, to have enough"
怪しい,あやしい,"① suspicious, dubious, doubtful, dodgy ② charming, bewitching"
あらゆる,あらゆる,"all, every"
覆う,おおう,"to cover, to hide, to conceal, to wrap, to disguise"
丘,おか,"hill, height, knoll, rising ground"
影,かげ,"① shadow, silhouette ② reflection, image ③ presence, sign ④ light (stars, moon)"
陰,かげ,"① shade, shadow ② other side, back, background"
桜,さくら,"① cherry tree, cherry blossom ② decoy, fake buyer, shill ③ hired applauder"
砂漠,さばく,desert
刺激,しげき,"stimulus, impetus, incentive, encouragement, motivation, provocation"
絞る,しぼる,"to press, to wring, to squeeze, to narrow (down), to whittle (down), to tighten"
事態,じたい,"situation, (present) state of affairs, circumstances"
勧める,すすめる,"to recommend, to advise, to encourage, to offer (wine)"
退屈,たいくつ,"tedium, boredom"
蓄える,たくわえる,"① to store, to lay in stock ② to have a beard, to grow a beard"
激しい,はげしい,"violent, vehement, intense, furious, tempestuous"
馬鹿,ばか,"① fool, idiot, trivial matter, folly, absurdity ② foolish, stupid, dull, absurd, ridiculous"
引っ張る,ひっぱる,"① to pull, to draw, to stretch, to drag ② to pull the ball (baseball)"
故郷,こきょう,"home town, birthplace, old village, historic village, native place, one's old home"
保証,ほしょう,"guarantee, security, assurance, pledge, warranty"
褒める,ほめる,"to praise, to admire, to speak well"
基づく,もとづく,"to be grounded on, to be based on, to be due to, to originate from"
履く,はく,"① to put on (or wear) lower-body clothing (i.e. pants, skirt, etc.), to put on (or wear) footwear ② to affix a sword to one's hip ③ to affix a bowstring to a bow"
演奏,えんそう,musical performance
途端,とたん,"just (now, at the moment, etc.)"
眺め,ながめ,"scene, view, prospect, outlook"
恵まれる,めぐまれる,"to be blessed with, to be rich in, to abound in"
級,きゅう,"class, grade, rank, school class, grade"
詩,し,"poem, verse of poetry"
氏,し,"① Mr ② clan ③ he, him ④ counter for people"
おしゃべり,おしゃべり,"chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth"
くっつく,くっつく,"to adhere to, to keep close to"
しきりに,しきりに,"① frequently, repeatedly, often, incessantly, constantly ② strongly, eagerly"
それとも,それとも,"or, or else"
ぶつかる,ぶつかる,"to strike, to collide with, to bump into"
やがて,やがて,"before long, soon, at length"
溢れる,あふれる,"to overflow, to brim over, to flood"
噂,うわさ,"rumour, rumor, report, hearsay, gossip, common talk"
餌,えさ,"feed, bait"
いつか,いつか,"sometime, someday, one day, some time or other, the other day, in due course, in time"
蓋,ふた,"cover, lid, cap"
まるで,まるで,"quite, entirely, completely, at all, as if, as though, so to speak, just like"
ごく,ごく,"① quite, very ② quindecillion (US), octillion (Europe), 10^48"
僅か,わずか,"only, merely, (a) little, small quantity"
近頃,ちかごろ,"lately, recently, nowadays"
つながる,つながる,"to be tied together, to be connected to, to be related to"
つなぐ,つなぐ,"to tie, to fasten, to connect, to transfer (phone call)"
ことわざ,ことわざ,"proverb, maxim"
おめでとう,おめでとう,"congratulations!, an auspicious occasion!"
ご覧,ごらん,"① (after the -te form of a verb) (please) try to ② (please) look ③ seeing, looking, watching"
たちまち,たちまち,"at once, in a moment, suddenly, all at once"
さようなら,さようなら,good-bye
撒く,まく,"to scatter, to sprinkle, to sow (seeds)"
しかる,しかる,to scold
蹴る,ける,"① to kick ② to refuse, to reject"
いとこ,いとこ,male cousin
いわゆる,いわゆる,"what is called, as it is called, the so-called, so to speak"
拭く,ふく,"to wipe, to dry"
尻,しり,"① buttocks, behind, rump, bottom ② undersurface, bottom ③ last place, end ④ consequence"
尻尾,しっぽ,tail (animal)
まさか,まさか,"by no means, never!, well, I never!, you don't say!"
親戚,しんせき,relative
ついに,ついに,"① finally, at last ② (with neg) in the end"
まさに,まさに,"① exactly, surely, certainly ② just (about to), on the verge (of doing or happening) ③ duly, naturally"
あいにく,あいにく,"unfortunately, Sorry, but ..."
羨ましい,うらやましい,"① envious (feeling, etc.), jealous ② enviable (position, etc.)"
ようやく,ようやく,"① finally, at last ② barely, narrowly, hardly, only just ③ gradually, little by little, by degrees"
かく,かく,"① to scratch ② to perspire ③ to shovel, to paddle"
袖,そで,sleeve
それでも,それでも,"but (still), and yet, nevertheless, even so, notwithstanding"
そこで,そこで,"so, accordingly, now, then, thereupon, therefore"
揃える,そろえる,"to put things in order, to arrange, to make uniform, to get something ready"
わざと,わざと,on purpose
おとなしい,おとなしい,"obedient, docile, quiet"
叩く,たたく,"① to strike, to clap, to dust, to beat ② to play drums ③ to abuse, to flame (e.g. on the Internet), to insult ④ to use up money"
しゃべる,しゃべる,"to talk, to chat, to chatter"
じかに,じかに,"directly, in person, headlong"
掴む,つかむ,"to seize, to catch, to grasp, to grip, to grab, to hold, to catch hold of, to lay one's hands on"
潰す,つぶす,"① to smash, to crush ② to shut down ③ to thwart, to block ④ to kill (time) ⑤ to waste (e.g. talents)"
諦める,あきらめる,"to give up, to abandon"
釘,くぎ,nail (i.e. small metal spike)
溺れる,おぼれる,"① to nearly drown, to sink below the surface (of water) ② to indulge in, to lose one's head over something"
うさぎ,うさぎ,"rabbit, hare, cony"
とにかく,とにかく,"anyhow, at any rate, anyway, somehow or other, generally speaking, in any case"
ともかく,ともかく,"anyhow, anyway, somehow or other, generally speaking, in any case, be that as it may"
謎,なぞ,"① riddle, puzzle, enigma, mystery ② enigmatic, mysterious"
鍋,なべ,"saucepan, pot"
どうしても,どうしても,"by all means, at any cost, no matter what, after all, in the long run, cravingly, at any rate, surely"
覗く,のぞく,"① to peek (though a keyhole, gap, etc.) ② to look down into (a ravine, etc.) ③ to peek into (a shop, bookstore, etc.) ④ to sneak a look at, to take a quick look at ⑤ to peep (through a telescope, microscope, etc.) ⑥ to stick out (a scarf from a collar, etc.), to peek through (sky though a forest canopy, etc.)"
莫大,ばくだい,"enormous, vast"
膝,ひざ,"knee, lap"
ひじ,ひじ,elbow
紐,ひも,"① string, cord ② man who is financially dependent on a woman (such as a gigolo or, in the case of a prostitute, a pimp), pimp"
ふと,ふと,"suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally"
物凄い,ものすごい,"earth-shattering, staggering, to a very great extent, terrible, frightful, horrible"
しかも,しかも,"moreover, furthermore, nevertheless, and yet"
およそ,およそ,"about, roughly, as a rule, approximately"
枕,まくら,"① pillow, bolster ② introduction (e.g. to a rakugo story), lead-in"
みょう,みょう,"① strange, unusual ② (something) superb, (something) excellent"
儲ける,もうける,"to get, to earn, to gain, to have (bear, beget) a child"
ただ,ただ,"① ordinary, common, usual ② free of charge ③ unaffected, as is, safe ④ only, merely, just, simply ⑤ but, however, nevertheless"
ほぼ,ほぼ,"almost, roughly, approximately"
